OBJECTID,GLOBAL,CODE,STATUSOBJECT,JNEXTERN,JNINTERN,JNRVZ,EXTERN_DR_HOOGTE,EXTERN_DR_BREEDTE,INTERN_BERGING_M3,RIOLERINGSGEBIEDID,TYPERGD,GEOMETRY,datakey,metadatakey
170,988C8DC3-9016-4E3A-AEDA-EDA87B356531,HER-HER-RIW-112,planvorming,ja,nee,nee,4.34,4.7,,1e5bc8fa-0b0a-4340-86b3-7f8ca14be96e  ,Verbeterd gescheiden stelsel,POINT (147021.627 413769.528000003 0.0),988C8DC3-9016-4E3A-AEDA-EDA87B356531,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
171,E04259DD-56EF-4946-975F-C7B3C37FB364,VEG-VEG-SCN-46,planvorming,ja,nee,nee,9.35,6.0,,52096eed-7ca3-4a70-87f2-e34641f930f1  ,Verbeterd gescheiden stelsel,POINT (163190.487 403122.956 0.0),E04259DD-56EF-4946-975F-C7B3C37FB364,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
172,F5A9C100-E27B-495E-87A2-61BE524A5129,HER-ROS-KLO-29,planvorming,ja,nee,nee,3.91,1.0,,2f5cb006-7ea3-4d68-a6a9-20a7bf0e7bfe  ,Gemengd gerioleerdgebied,POINT (153119.767000001 412324.755 0.0),F5A9C100-E27B-495E-87A2-61BE524A5129,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
173,7258EA41-7EE1-4784-9293-14A4F8C82C47,LIT-LIO-KER-9,planvorming,ja,nee,nee,3.95,2.65,,8e54f12d-a4b5-42a3-bf52-0646fdc964e8  ,Gemengd gerioleerdgebied,POINT (160273.030000001 423404.598000002 0.0),7258EA41-7EE1-4784-9293-14A4F8C82C47,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
174,EB1027EE-221D-4DDA-896B-E46B7F41ECE4,GRA-GRA-BON-10,planvorming,ja,nee,nee,8.13,1.8,,f169b0ce-48a6-4557-91e3-5d88cb86f382  ,Verbeterd gescheiden stelsel,POINT (178799.868000001 417706.750000002 0.0),EB1027EE-221D-4DDA-896B-E46B7F41ECE4,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
175,ADF6E4D5-6161-46FE-88CE-E58FFB5A6491,GEM-GEM-WOL-16,planvorming,ja,nee,nee,17.5,1.2,,a4ad1ae8-7092-4f85-96a3-72ddbcfea855  ,Gescheiden stelsel,POINT (177420.585999999 397273.318999998 0.0),ADF6E4D5-6161-46FE-88CE-E58FFB5A6491,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
176,795B2AFA-823F-4463-8169-E1FD112F43FD,HER-HER-DEU-98,planvorming,ja,nee,nee,3.9,1.0,,e087e5d3-389b-4dce-833e-6e5f4c260a81  ,Gemengd gerioleerdgebied,POINT (146708.090999998 410718.563 0.0),795B2AFA-823F-4463-8169-E1FD112F43FD,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
177,E6811213-622A-434E-B3E3-A1AEB83A6C5B,LAN-ZEE-OVE-15,planvorming,ja,nee,nee,19.080000000000002,2.0,,ded93a37-0b9e-4d48-a412-58b989a0fbe7  ,Gemengd gerioleerdgebied,POINT (175238.848999999 410045.706000002 0.0),E6811213-622A-434E-B3E3-A1AEB83A6C5B,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
178,1020D251-D505-4A8F-AFDF-EC6AEF7C980D,HEU-HER-KER-7,planvorming,ja,nee,nee,0.97,2.25,,4a65f71d-a63f-40eb-95ae-7306c2949424  ,Gemengd gerioleerdgebied,POINT (139160.592999998 415908.266000001 0.0),1020D251-D505-4A8F-AFDF-EC6AEF7C980D,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
179,1BFF2D79-5E19-4BEF-A643-340E5D57B234,CUI-CUI-VAL-3,planvorming,ja,nee,nee,9.1,1.9000000000000001,,98520872-fd5e-4f30-a470-b624287490b0  ,Gemengd gerioleerdgebied,POINT (188140.995999999 417245.484000003 0.0),1BFF2D79-5E19-4BEF-A643-340E5D57B234,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
