OBJECTID,CODE,DOORSTROOMBREEDTE,LAAGSTEDOORSTROOMHOOGTE,HOOGSTEDOORSTROOMHOOGTE,HOOGTECONSTRUCTIE,STATUSLEGGERWATERSYSTEEM,STATUSLEGGERWATERVEILIGHEID,INDICATOR,GEOMETRY,datakey,metadatakey
1707,116HLF,2.0,0.05,1.06,1.53,Vastgesteld,Niet van toepassing,L,POINT (146907.723000001 412312.16),116HLF,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1708,108BN,0.7000000000000001,18.48,19.48,19.96,Vastgesteld,Niet van toepassing,L,POINT (184609.112 405037.633000001),108BN,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1709,204AK,0.75,4.61,5.55,5.61,Vastgesteld,Niet van toepassing,L,POINT (161373.708999999 415621.072000001),204AK,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1710,261OKB,1.0,24.2,24.21,25.400000000000002,Vastgesteld,Niet van toepassing,L,POINT (185277.034499999 390024.698800001),261OKB,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1711,261BZD,0.5,27.69,28.2,28.91,Vastgesteld,Niet van toepassing,L,POINT (186095.263 381493.272999998),261BZD,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1712,108FNS,1.0,12.83,13.8,14.11,Vastgesteld,Niet van toepassing,L,POINT (183843.533 409128.063000001),108FNS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1713,105PDT,0.62,14.68,15.56,15.56,Vastgesteld,Niet van toepassing,L,POINT (175942.936999999 414314.550999999),105PDT,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1714,105PGS,1.75,13.8,14.43,14.88,Vastgesteld,Niet van toepassing,L,POINT (176451.585999999 414464.072000001),105PGS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1715,107EAK,0.6,18.72,19.61,19.6,Vastgesteld,Niet van toepassing,L,POINT (177569.353 406876.304000001),107EAK,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
1716,108LRS,1.02,10.09,10.870000000000001,10.88,Vastgesteld,Niet van toepassing,L,POINT (189627.9584 410963.357000001),108LRS,5B328A71-4DE2-425F-85FD-F9A9A50CCEB4
