index,hydroobject_CODE,endpoint_hydroobject_CODE
1219,1043421,1043420
1221,1043960,1043971
1222,1043970,1043971
1224,1045710,1045258
1226,2613110,2613100
1228,2750120,2750110
1230,2750780,2750770
1231,2750790,2750770
1233,2750870,2750860
1234,2750800,2750860
1236,2611370,2611360
1238,2611520,2611380
1239,2611510,2611380
1241,2611660,2611640
1242,2611650,2611640
1244,2612000,2611990
1246,2612450,2612440
1248,2530848,2530850
1249,2530862,2530850
1250,2530851,2530850
1253,2531220,2531240
1254,2531250,2531240
1256,06079,06073
1258,2580170,2580150
1259,2580160,2580150
1261,06079,06072
1263,2511150,2511140
1265,2511340,2511330
1267,2530040,2530030
1269,2341665,2341700
1270,2341715,2341700
1272,1015005,1018060
1274,2011240,2130030
1275,2011230,2130030
1276,2171210,2171200
1279,2240090,2240080
1281,1032350,1031940
1282,1032355,1031940
1284,1032620,1032610
1286,1033760,1033740
1288,1013130,1013020
1290,1072530,1072520
1292,1070405,1070400
1294,1020180,02331
1295,01094,02331
1296,1087005,02333
1298,2043541,04658
1301,2030840,02336
1303,2043770,02338
1305,04117,02342
1306,03660,02342
1309,2340405,02289
1310,1081163,1081160
1312,1162120,1162110
1314,1162119,1162110
1316,1087475,1087470
1318,1184790,1184805
1319,1184780,1184805
1321,2920425,2920420
1323,1040355,1040353
1325,2800330,2800420
1326,2800430,2800420
1328,2870245,2870230
1329,04066,2870230
1330,2870381,2870370
1332,2870380,2870370
1334,2870510,2870500
1336,2690040,2690030
1337,2750860,2750810
1339,2750850,2750810
1341,2750850,2750840
1343,2751190,2751180
1345,2612070,2612060
1346,2611910,2612060
1347,2612840,2612860
1349,2612870,2612860
1350,2610199,2610190
1352,2610220,2610190
1353,2610290,2610190
1355,2610330,2610340
1356,2610350,2610340
1358,2610740,2610680
1359,2610730,2610680
1361,2611570,2611530
1362,2611580,2611530
1364,1183120,02255
1366,2113900,02259
1368,1181570,02273
1370,1100140,02241
1372,00378,02286
1374,2043170,02280
1375,2043150,02280
1377,04436,02290
1378,2531160,02279
1380,02147,02279
1382,03440,02252
1384,02468,02275
1386,1146030,02254
1388,2530125,02263
1390,2530460,2530490
1391,2530500,2530490
1393,2343190,2343180
1395,2500070,2500050
1397,2012030,03617
1399,2870250,2870245
1400,2870240,2870245
1402,1171750,1171740
1403,1170390,1171740
1405,1171810,1171750
1406,1171980,1171750
1408,2114250,2111350
1410,2044390,2044380
1412,2010825,2420030
1413,2010830,2420030
1414,2010840,2420030
1416,1090465,1090640
1417,1090470,1090640
1419,1090475,1101425
1420,1101430,1101425
1422,2613330,2614520
1423,2613320,2614520
1425,01739,02238
1426,01209,02238
1429,01129,06104
1431,00794,02407
1433,02409,03324
1435,1031020,01986
1437,02529,01985
1439,1054140,01983
1441,2270420,01980
1443,1081700,02529
1445,1051390,01984
1447,03479,01981
1449,2270420,03675
1451,2380030,02409
1453,1020030,1020180
1454,1020170,1020180
1456,1041580,02773
1458,02408,02406
1459,02773,04003
1462,1182270,02401
1464,1041650,04585
1466,01461,02405
1468,04996,02410
1470,2050370,2051390
1472,1084970,1084960
1474,1086100,1086060
1475,1086110,1086060
1477,1071820,1071810
1479,1072390,1072380
1481,1080330,1080350
1482,1080360,1080350
1484,1081780,1081770
1486,1040660,1040610
1487,1040652,1040610
1489,1013601,1013700
1490,1013710,1013700
1492,1034230,1034220
1494,1182270,01953
1496,1051690,01950
1498,01156,01952
1500,1086680,01964
1502,1170370,01962
1504,2340640,01960
1506,1030540,01946
1508,1140935,01965
1510,2870010,01967
1512,1013500,01968
1514,2612230,01969
1516,2800720,2800710
1517,2800700,2800710
1519,2612811,2612800
1520,2612810,2612800
1522,2610620,2610610
1523,2610600,2610610
1525,2611350,2611340
1527,2342860,2342850
1529,2340740,2340710
1530,2340750,2340710
1532,2341845,2341840
1534,2043190,2043250
1535,2043260,2043250
1537,2041040,2041030
1539,2042660,2042650
1541,1087030,1087020
1543,1081930,1081920
1545,1072310,1072300
1547,1072420,1072410
